Time,Fault,Detection
0,0,0
0.000166666666666667,0,0
0.000333333333333333,0,0
0.0005,0,0
0.000666666666666667,0,0
0.000833333333333333,0,0
0.001,0,0
0.00116666666666667,0,0
0.00133333333333333,0,0
0.0015,0,0
0.00166666666666667,0,0
0.00183333333333333,0,0
0.002,0,0
0.00216666666666667,0,0
0.00233333333333333,0,0
0.0025,0,0
0.00266666666666667,0,0
0.00283333333333333,0,0
0.003,0,0
0.00316666666666667,0,0
0.00333333333333333,0,0
0.0035,0,0
0.00366666666666667,0,0
0.00383333333333333,0,0
0.004,0,0
0.00416666666666667,0,0
0.00433333333333333,0,0
0.0045,0,0
0.00466666666666667,0,0
0.00483333333333333,0,0
0.005,0,0
0.00516666666666667,0,0
0.00533333333333333,0,0
0.0055,0,0
0.00566666666666667,0,0
0.00583333333333333,0,0
0.006,0,0
0.00616666666666667,0,0
0.00633333333333333,0,0
0.0065,0,0
0.00666666666666667,0,0
0.00683333333333333,0,0
0.007,0,0
0.00716666666666667,0,0
0.00733333333333333,0,0
0.0075,0,0
0.00766666666666667,0,0
0.00783333333333333,0,0
0.008,0,0
0.00816666666666667,0,0
0.00833333333333333,0,0
0.0085,0,0
0.00866666666666667,0,0
0.00883333333333333,0,0
0.009,0,0
0.00916666666666667,0,0
0.00933333333333333,0,0
0.0095,0,0
0.00966666666666667,0,0
0.00983333333333333,0,0
0.01,0,0
0.0101666666666667,0,0
0.0103333333333333,0,0
0.0105,0,0
0.0106666666666667,0,0
0.0108333333333333,0,0
0.011,0,0
0.0111666666666667,0,0
0.0113333333333333,0,0
0.0115,0,0
0.0116666666666667,0,0
0.0118333333333333,0,0
0.012,0,0
0.0121666666666667,0,0
0.0123333333333333,0,0
0.0125,0,0
0.0126666666666667,0,0
0.0128333333333333,0,0
0.013,0,0
0.0131666666666667,0,0
0.0133333333333333,0,0
0.0135,0,0
0.0136666666666667,0,0
0.0138333333333333,0,0
0.014,0,0
0.0141666666666667,0,0
0.0143333333333333,0,0
0.0145,0,0
0.0146666666666667,0,0
0.0148333333333333,0,0
0.015,0,0
0.0151666666666667,0,0
0.0153333333333333,0,0
0.0155,0,0
0.0156666666666667,0,0
0.0158333333333333,0,0
0.016,0,0
0.0161666666666667,0,0
0.0163333333333333,0,0
0.0165,0,0
0.0166666666666664,0,0
0.0166666666666667,0,0
0.0166666666666669,0,0
0.0168333333333333,0,0
0.017,0,0
0.0171666666666667,0,0
0.0173333333333333,0,0
0.0175,0,0
0.0176666666666667,0,0
0.0178333333333333,0,0
0.018,0,0
0.0181666666666667,0,0
0.0183333333333333,0,0
0.0185,0,0
0.0186666666666667,0,0
0.0188333333333333,0,0
0.019,0,0
0.0191666666666667,0,0
0.0193333333333333,0,0
0.0195,0,0
0.0196666666666667,0,0
0.0198333333333333,0,0
0.02,0,0
0.0201666666666667,0,0
0.0203333333333333,0,0
0.0205,0,0
